doc_id;label;grid;parent_grid;grid_label;grid_reason;city;country
360800;"Bayer CropScience";grid.423974.f;;Bayer CropScience (Belgium);Matching variants ""Bayer CropScience"" / "Bayer CropScience (Belgium)";Diegem;Belgium
447895;*;grid.464162.3;;Vilmorin & Cie (France);Matching URL "" / label "*";La Ménitré;France
335879;Fondazione IRCCS Ca'Granda  Ospedale Maggiore Policlinico;grid.414818.0;grid.414603.4;Fondazione IRCCS Ca' Granda Ospedale Maggiore Policlinico;Matching variants "Fondazione IRCCS Ca'Granda  Ospedale Maggiore Policlinico" / "Fondazione IRCCS Ca' Granda Ospedale Maggiore Policlinico";Milan;Italy
351378;<U+25E6>Université de Picardie Jules Verne : EA3900;grid.11162.35;;University of Picardie Jules Verne;Matching variants "<U+25E6>Université de Picardie Jules Verne : EA3900" / "University of Picardie Jules Verne";Amiens;France
399884;08;grid.463723.7;grid.440911.9;Laboratoire Politiques Publiques, Action Politique, Territoires;Matching variants "Politiques publiques\, ACtion politique\, TErritoires 08" / "Laboratoire Politiques Publiques, Action Politique, Territoires";Grenoble;France
347907;161 Av. Churchill;grid.446599.3;;Churchill Centre;Matching variants "161 Av. Churchill" / "Churchill Centre";Downers Grove;United States
344308;1University of Padua;grid.5608.b;;University of Padua;Matching variants "1University of Padua" / "University of Padua";Padua;Italy
350321;2 r. de l'Observatoire;grid.440460.2;;Observatoire de la Côte d’Azur;Matching variants "2 r. de l'Observatoire" / "Observatoire de la Côte d’Azur";Nice;France
314725;24801 Alexandra Ct.;grid.413586.d;;Alexandra Hospital;Matching variants "24801 Alexandra Ct." / "Alexandra Hospital";Athens;Greece
314267;2880 Broadway;grid.432661.4;;Broadway;Matching variants "2880 Broadway" / "Broadway";broadway;United Kingdom
337645;2Instituto de Investigaciones Marinas;grid.419099.c;grid.4711.3;Instituto de Investigaciones Marinas;Matching variants "2Instituto de Investigaciones Marinas" / "Instituto de Investigaciones Marinas";Vigo;Spain
345923;31 Degrees;grid.463737.2;;31 Degrees (France);Matching variants "31 Degrees" / "31 Degrees (France)";degrees;france
314350;325 Broadway;grid.432661.4;;Broadway;Matching variants "325 Broadway" / "Broadway";broadway;United Kingdom
357632;3-5 Lab;grid.424877.a;;III V Lab;Matching variants "3-5 Lab" / "III V Lab";Marcoussis;France
306658;45 Broadway;grid.432661.4;;Broadway;Matching variants "45 Broadway" / "Broadway";broadway;United Kingdom
331871;64291 Darmstadt;grid.6546.1;;Technical University of Darmstadt;Matching variants "64291 Darmstadt" / "TU Darmstadt" + Matching cities darmstadt / Darmstadt;Darmstadt;Germany
397174;823322;grid.463723.7;grid.440911.9;Laboratoire Politiques Publiques, Action Politique, Territoires;Matching variants "Politiques publiques\, ACtion politique\, TErritoires 823322" / "Laboratoire Politiques Publiques, Action Politique, Territoires";Grenoble;France
229623;A7 Conseil;grid.424628.e;;France Développement Conseil (France);Matching variants "A7 Conseil" / "FD Conseil";conseil;france
305332;Aalborg;grid.27530.33;grid.452352.7;Aalborg Hospital;Matching variants "Aalborg" / "Aalborg Hospital" + Matching cities aalborg / Aalborg;Aalborg;Denmark
445852;AbbVie;grid.476024.3;;AbbVie (Spain);Matching variants "AbbVie" / "AbbVie (Spain)";abbvie;spain
318901;Aberystwyth;grid.8186.7;;Aberystwyth University;Matching variants "Aberystwyth" / "Aberystwyth University" + Matching cities aberystwyth / Aberystwyth;Aberystwyth;United Kingdom
321587;Academia Sinia;grid.28665.3f;;Academia Sinica;Matching variants "Academia Sinia" / "Academia Sinica";Taipei;Taiwan
213227;Académie de Grenoble;grid.431796.e;;Académie de Grenoble;Matching variants "Académie de Grenoble" / "Académie de Grenoble";Grenoble;France
218823;Académie de l'eau;grid.442837.e;;Académie des Beaux-Arts;Matching variants "Académie de l'eau" / "Académie des Beaux-Arts";Kinshasa;Democratic Republic of the Congo
358805;Académie de Nice;grid.431796.e;;Académie de Grenoble;Matching variants "Académie de Nice" / "Académie de Grenoble";Grenoble;France
