ETABLISSEMENT;VILLE;UAI;COMPO;COM_CODE
IAE Savoie Mont Blanc; Annecy-Le-Vieux;0730858L;0741723W;74011
IUT Bordeaux 1; Gradignan;0333298F;0331494V;33192
Institut Catholique de Lille ( campus Paris) ; Issy les moulineaux ;0590344D;0922707T;92040
1 : Ecole de Biologie Industrielle (EBI) / 2 : AgroParisTech;1 : Cergy-Pontoise / 2 : Massy-Palaiseau;0951820M;0951820M;95127
Université d'Artois;A distance;0623957P;0623957P;62041
Aalborg Universitet;Aalborg (Danemark);ETRANGERPU;ETRANGERPU;Aalborg
Faculté des lettres et des sciences humaines –Université Ibn Zohr-;Agadir - Maroc;ETRANGERPU;ETRANGERPU;Agadir
IUT d'Aix en Provence;Aix en Provence;0134009M;0134061U;13001
IEP d'Aix en Provence - Marseille Provence Université;Aix en Provence;0130221V;0130221V;13001
IUT Aix-Marseille;Aix en Provence;0134009M;0134061U;13001
IUT Aix Marseille;Aix en Provence;0134009M;0134061U;13001
IUT Aix en Provence ;Aix en Provence;0134009M;0134061U;13001
IUT ;Aix en Provence ;0134009M;0134061U;13001
IAE aix en pce;Aix en provence;0134009M;0130197U;13001
Aix-Marseille Université;Aix en provence;0134009M;0134009M;13001
IAE AIX EN PROVENCE;AIX EN PROVENCE;0134009M;0130197U;13001
Faculté de Géographie;Aix en Provence;0134009M;;13001
IAE;Aix en Provence;0134009M;0130197U;13001
FEG AMU;Aix en provence;0134009M;0134016V;13001
ESCG&F ;Aix en Provence ;0341576D;0133265D;13001
Institut de Management Public et Gouvernance Territoriale;Aix-en-Provence ;0134009M;0133794D;13001
Merkure business school;Aix-En-Provence;0133331A;0133331A;13001
IAE d'Aix-en-provence;Aix-en-Provence;0134009M;0130197U;13001
Aix-Marseille Université;Aix-en-Provence;0134009M;0134009M;13001
Université Aix-Marseille;Aix-en-Provence;0134009M;0134009M;13001
Institut d'Administration des Entreprises ;Aix-en-Provence (Puyricard);0134009M;0130197U;13001
Lycée Laetitia Bonaparte ;Ajaccio;6200002H;6200002H;2A004
Lycée Louis Rascol;Albi;0810004P;0810004P;81004
Université Jean Moulin Lyon 3;Alger;0692437Z;0692437Z;69123
Université d'Alger;Alger;ETRANGERPU;ETRANGERPU;Alger
IUT Amiens;AMIENS;0801344B;0801265R;80021
Université de Picardie Jules Verne (UPJV);Amiens;0801344B;0801344B;80021
Université de Picardie Jules Verne;Amiens;0801344B;0801344B;80021
Edouard Gand;Amiens;0800011C;0800011C;80021
Université de Picardie Jules Verne (IUP);Amiens;0801344B;0802057B;80021
Lycée Louis Thuillier;Amiens;0800009A;0800009A;80021
ESAD;Amiens;0801367B;0801367B;80021
IUT ;AMIENS;0801344B;0801265R;80021
UFR des sciences;Amiens;0801344B;0800076Y;80021
ESIEE;AMIENS;0932019P;0801911T;80021
IUT TC;Amiens;0801344B;0801265R;80021
UPJV;Amiens;0801344B;0801344B;80021
UPJV AMIENS;AMIENS;0801344B;0801344B;80021
Université Picardie Jules Verne;Amiens;0801344B;0801344B;80021
université de Picardie Jules Verne GEA;Amiens;0801344B;0801265R;80021
ESSCA;Angers;0490076S;0490076S;49007
Université d'Angers, UFR Droit, Economie, Gestion ;Angers ;0490970N;0491610J;49007
ESTHUA Université d'Angers;Angers;0490970N;0492227E;49007
Université d'Angers Belle Beille;Angers;0490970N;0490970N;49007
Université d'Angers (UFR Droit, économie et gestion);Angers;0490970N;0491610J;49007
Université Catholique de l'Ouest;ANGERS;0490811R;0490811R;49007
Université d'angers;Angers;0490970N;0490970N;49007
ESTHUA  Angers;Angers;0490970N;0492227E;49007
ISTIA - Ecole d'Ingénieurs de l'Université d'Angers;Angers;0490970N;0492226D;49007
IUT Angers;Angers;0490970N;0490769V;49007
IUT Angers-Cholet;Angers;0490970N;0492191R;49099
Sacré Coeur ;Angers;0492015Z;0492015Z;49007
Université d'Angers - ESTHUA ;Angers;0490970N;0492227E;49007
Ecole Supérieur des Sciences Commerciales d'Angers;Angers;0490076S;0490076S;49007
Ecole Supérieure d'Agriculture d'Angers;Angers;0490072M;0490072M;49007
Université Catholique de l'Ouest (UCO);Angers;0490811R;0490811R;49007
UFR Faculté d'économie gestion et droit;ANGERS;0490970N;0491610J;49007
ISTIA, Ecole d'ingénieurs de l'université d'Angers;Angers;0490970N;0492226D;49007
ESEO Angers;Angers;0490075R;0490075R;49007
ISTIA;Angers;0490970N;0492226D;49007
ESTHUA, Université d'Angers;Angers;0490970N;0492227E;49007
UFR des Sciences université d’Angers;Angers ;0490970N;0492151X;49007
Groupe ESA (Ecole Supérieure d'Agriculture) d'Angers;ANGERS;0490072M;0490072M;49007
ESA - Ecole supérieur d'Agriculture;ANGERS;0490072M;0490072M;49007
UFR Sciences;ANGERS;0490970N;0492151X;49007
ESEO;Angers;0490075R;0490075R;49007
ESEO (Ecole superieur d'électronique de l'Ouest);Angers;0490075R;0490075R;49007
ISTIA, école d'ingénieurs de l'université d'Angers;Angers;0490970N;0492226D;49007
Groupe ESEO;Angers;0490075R;0490075R;49007
ICOGES;ANGERS;0490913B;0490913B;49007
Agrocampus Ouest centre d'Angers;Angers;0352692L;0492189N;49007
Angers;Angers;0490970N;0490970N;49007
Arts et Métiers ParisTech;Angers;0753237L;0490067G;49007
ESEO Angers - Audencia Nantes;Angers - Nantes;0490075R;0490075R;49007
ESEO  Angers - AUDENCIA Nantes;Angers - Nantes;0490075R;0490075R;49007
IUT d'Angers;ANGERS (49);0490970N;0490769V;49007
IUT d'Angoulême;Angoulême;0860856N;0161125L;16015
IAE;Annecy;0730858L;0741723W;74011
IAE ANNECY -  Savoie Annecy-le-Vieux;Annecy;0730858L;0741723W;74011
IUT d'Annecy;Annecy;0730858L;0741133E;74011
IAE Savoie Mont Blanc;Annecy;0730858L;0741586X;74011
Université Savoie Mont Blanc;Annecy;0730858L;0730858L;74011
IAE Savoie Mont-Blanc;ANNECY;0730858L;0741723W;74011
IAE Savoie Mont-Blanc;Annecy Le vieux;0730858L;0741723W;74011
IAE SAVOIE MONT BLANC;ANNECY LE VIEUX;0730858L;0741723W;74011
Institut Universitaire de Technologie Savoie Mont-Blanc;Annecy-Le-Vieux;0730858L;0741133E;74011
IAE Savoie Mont Blanc;Annecy-Le-Vieux;0730858L;0741723W;74011
Université Savoie Mont Blanc - Institut Universitaire de Technologie d'Annecy-Le-Vieux;Annecy-Le-Vieux;0730858L;0741133E;74011
IUT Annecy-le-Vieux (74);Annecy-le-Vieux (74);0730858L;0741133E;74011
Karel De Grote Hogeschool;Anvers (Belgique);ETRANGERPR;ETRANGERPR;Anvers
Université d'Artois ;Arras;0623957P;0623957P;62041
EPSI;ARRAS;0922467G;0922467G;62041
UFR STAPS Clermont-Ferrand;AUBIERE;0631525R;0630096M;63014
IUT Université d'Auvergne (Clermont 1);Aubière (63);0631262E;0631021T;63014
Lycée des métiers du bois et de l'habitat;Aubin;0120096P;0120096P;12013
IUT DE BIOLOGIE D'AURILLAC;AURILLAC;0631262E;0150746E;15014
Ecole Nationale Supérieure Agronomique de Toulouse (E.N.S.A.T.);Auzeville-Tolosane;0311381H;0310105W;31113
Université d'Avignon et des Pays du Vaucluse;Avignon;0840685N;0840685N;84007
UAPV;Avignon;0840685N;0840685N;84007
Université d'Avignon et des Pays de Vaucluse;Avignon;0840685N;0840685N;84007
université d'Avignon;Avignon ;0840685N;0840685N;84007
Toulouse Business School;Balma;0310156B;0312012U;31044
Entiore-Programme Bachelor;Balma;0310156B;0312012U;31044
Bangkok School of Management;Bangkok;ETRANGERPR;ETRANGERPR;Bangkok
Barcelona Graduate School of Economics;Barcelona;ETRANGERPU;ETRANGERPU;Barcelone
IUP SPORT ;BAYONNE;0333298F;;64102
CF IUP de Bayonne - Université de Bordeaux;Bayonne;0333298F;;64102
CF IUP Bayonne / Université de Bordeaux;Bayonne;0333298F;;64102
Université de Bordeaux;Bayonne;0333298F;;64102
CF IUP de Bayonne;Bayonne;0333298F;;64102
CF IUP Sport ;Bayonne;0333298F;;64102
La viti;Beaune;0210036A;0210036A;21054
LASALLE BEAUVAIS;BEAUVAIS;0600071B;0600071B;60057
Institut Polytechnique LaSalle Beauvais;Beauvais 60 000;0600071B;0600071B;60057
Beijing Forest University;Beijing;ETRANGERPU;ETRANGERPU;Pékin
IUT Informatique de Belfort-Montbéliard;Belfort;0251215K;0900231M;90010
Université de Technologie de Belfort-Montbéliard (UTBM);Belfort;0900424X;0900444U;90010
ESTA;Belfort;0900362E;0900362E;90010
Ecole Supérieure des Technologies et des Affaires;Belfort;0900362E;0900362E;90010
Université de Technologie de Belfort-Montbéliard;Belfort;0900424X;0900424X;90010
ESTA Belfort;Belfort;0900362E;0900362E;90010
Pairs 1 Panthéon Sorbonne  - KU Leuven – Université de Padou;Belgique;0751717J;0751717J;75056
Université de Bordeaux;Bergerac;0333298F;0333298F;24037
UFR-ST FRANCHE-COMTE;BESANCON ;0251215K;0251900E;25056
