objectID;title;field_categorie_de_societe;field_lien;field_le_slogan;twitter;facebook
5662;#AX6;Startups;http://ax6.fr/;Agence de communication, Création de site web, Expert en référencement naturel et SEO;;
5926;A6Telecom;ETI/Grands Groupes;https://www.a6telecom.fr;Innover dans le domaine de la téléphonie en offrant des solutions VOIP de pointe, intégrées au plus près des logiques métiers de nos clients;https://twitter.com/a6telecom;https://www.facebook.com/A6-T%C3%A9l%C3%A9com-475323622571839/?fref=ts
1769;AB Tasty;Startups;http://www.abtasty.com;AB Tasty helps marketers tailor UX and increase conversion rates through A/B testing and content personalisation – regardless of technical skills. ;;
6556;ab-outillage.com;;http://www.ab-outillage.com/;Vente en ligne d'outillage pour particulier et professionnel. ;;
5852;Abcommerces;ETI/Grands Groupes;https://www.abcommerces.com/;Le nouveau Uber-Amazon de l'outillage agricole et industriel;;
529;Abibao;;http://abibao.com;Il n'est pas nécessaire de donner SON argent pour financer une association... répondez à des sondages, les entreprises financeront pour vous l'asso de votre choix.;https://twitter.com/abibao_com;https://www.facebook.com/abibao.for.awesome.people/
4224;Abilways;SME;http://moocmobile.abilways.com/;SAVOIR CONVAINCRE, ÇA S'APPREND ! Un parcours d'apprentissage innovant à regarder n'importe où, n'importe quand et aussi souvent que vous voulez !;https://twitter.com/abwsdigital?lang=fr;https://www.facebook.com/abilwaysdigital/
4420;abonnement-cafe;Startups;http://www.abonnement-cafe.com;Ne tombez plus en panne de capsule et faites des économies par la meme occasion.;;
1443;Academyk;Startups;http://www.academyk.org;Micros-cours gratuits en vidéo ;https://twitter.com/TeamAcademyk;https://www.facebook.com/academyk
6111;AccelaD;Startups;http://www.accelad.com/;A new generation assistant for hardware design;;
189;Accengage;;http://www.accengage.com/;CRM mobile,technologie avancée en matière de relation client via des push notifications;;
2486;Accentis CIS;SME;http://www.accentis.ru/#!home-en/c1b1r;Société de conseil spécialisée dans la distribution et les produits de grande consommation en Russie.;;
4492;Accoo;Startups;http://www.accoo.fr;Chargeur Nomade Design;;
5890;ACEP;SME;http://www.smart-mirror.com/;Leader Mondial de AR VR et prise de mesures pour opticiens;;
2453;Acheter Français;SME;https://www.acheter-francais.org/;Vente de produits mode femme homme maison sport made in France;;https://www.facebook.com/ACHETER-FRAN%C3%87AIS-111360745579124/
6448;Acquero;Startups;http://www.acquero.fr;Solution intelligente et full service d'optimisation de campagnes Adwords. ;;
5965;Acreos;Startups;http://www.acreos.eu/fr/index.php;Nos équipes élaborent et mettent en oeuvre une expertise pédagogique pour les secteurs de la construction, du minier, de la manutention, du levage et du portuaire. ;;
5128;ACS Biotech;Startups;http://www.acsbiotech.com;Solution de réparation du cartilage;https://twitter.com/ACSBiotech;https://www.facebook.com/acsbiotech/
489;Actimeety;;http://www.actimeety.com;Actimeety est un social club qui organise la rencontre entre deux groupes de trois ami(e)s autour d'une activité;;
1855;Actiom;Startups;http://www.actiom.net/engineering.html;ACTIOM is a professional services firm: Consulting, Engineering & Software.;;
1603;AD Studio;Startups;http://ado-studio.com/;Web Agency;https://twitter.com/Adrien_Lopez_;
2435;Adequatio;Startups;http://adequat.io;Nouveaux formats de bannières innovants, 100% visible, non-instrusifs et responsive qui n'apparaissent qu'au moment parfait !;https://twitter.com/weareadequatio;
6070;ADIBLA;SME;http://www.adibla.com/;LA Révélation du Casque Bluetooth pour la musique, les appels et le sport.;https://twitter.com/Adibla_audio;https://www.facebook.com/adibla.neckmaster
3795;ADN;Startups;http://www.art-digital-numerique.fr;ADN innove dans la conception de matériel audio Hifi sans fil et Multiroom destiné au grand public;https://twitter.com/LeSonADN;https://www.facebook.com/LeSonADN/
1306;Adrénalivre;Startups;http://adrenalivre.com;Edition de livres numériques au scénario semi ouvert & non linéaire;https://twitter.com/AdrenaLivre;
1572;Adresses Gourmandes;Media;http://alimentation-generale.fr/;La plateforme des cultures du goût;https://twitter.com/AlimentationGnr;https://www.facebook.com/AlimentationGnr/
3803;Ads On Board;Startups;http://adsonboard.com;Ads On Board, le premier street marketing embarqué.;https://twitter.com/adsonboardfr;https://www.facebook.com/adsonboardfr/
191;Advanilla;;https://advanilla.com;Le crowdfunding de campagnes publicitaires;;
1214;Advansolar;Startups;http://www.advansolar.com;Bornes de recharge solaire intelligentes pour les voitures & vélos électriques, et mobiliers urbains de la smart city;https://twitter.com/advansolar;https://www.facebook.com/Advansolar
1525;ADVEEZ;Startups;http://www.adveez.fr;Systèmes anti-fugue, capteur de chutes de dernière génération, contrôle d'accès mains-libres, suivi de biens et de personnes (Pass FrenchTech-Acteur SilverEco);http://twitter.com/adveezfr;
3147;AdVenture05;Startups;http://www.adventure05.com;AdVenture05 crée Tennis:play, la 1ere App du Tennis 3.0. Fidélisation des adherents et développement de la pratique à travers le gaming.;http://twitter.com/fotshudi;https://www.facebook.com/groups/lgasports/
1610;ADVIZE;Startups;http://www.advize.fr;1er RoboAdvisor français;https://twitter.com/advize_fr?lang=fr;
2328;Adwanted.com;SME;http://www.adwanted.com;la market place des espaces publicitaires off-line.;https://twitter.com/AdwantedCom;https://www.facebook.com/adwantedCom/
337;Adways;;http://adways-studio.com/fr/;Créer des vidéo interactives;;
2369;Adxperience;Startups;http://www.adxperience.com;Société Media Mobile;https://twitter.com/ad_xperience;https://www.facebook.com/adxperience
5328;ADYOULIKE;Startups;http://www.adyoulike.com;Leader européen du Native Advertising;https://twitter.com/Adyoulike;https://www.facebook.com/adyoulike/
6428;AEDMAP;Startups;http://www.aedmap.org;AED develops innovative solutions to improve sudden cardiac arrest survival rate ;https://twitter.com/aedmap;https://www.facebook.com/Aedmap
5243;AEROMAPPER;Startups;http://www.aeromapper.com;Fabricant et exploitant de drones de cartographie longue portée.;;https://www.facebook.com/Aeromapper-1685607415024074/?fref=ts
3938;AETNA SOFTWARES;Startups;http://aetna-softwares.com/;Création de SaaS pour la gestion d'entreprise. ;;
2796;Aeviter.com;Startups;https://www.aeviter.com/;Réseau social qui s’emploie à solutionner les problèmes que rencontrent les consommateurs, valorise l’e-réputation des entreprises et optimise l’expérience client avec une approche personnalisée via son site internet.;https://twitter.com/Aeviter;https://www.facebook.com/Aeviter-676199395825683/
1561;affeeniteam;Startups;http://www.affeeniteam.com;Rencontre d'associés par affinités;;
4147;African Travel Desk;Startups;http://africantraveldesk.co.za;Réservation en-ligne de tours en Afrique du Sud;https://twitter.com/africandesk;https://www.facebook.com/africantraveldesk
4625;Afrostream;Startups;https://www.afrostream.tv/;AfrostreamVOD partage avec vous sa passion pour le cinéma afro. Nous sélectionnons le meilleur des films afro-américains, africains et caribéens. Découvrez des réalisateurs et des acteurs de talent dans des films cultes et des nouveautés en exclusivité !;https://twitter.com/intent/user?screen_name=AFROSTREAM;https://www.facebook.com/afrostreamtv?fref=ts
4805;AGENCE LDP ( Acronyme de LUNETTES DE PUB);SME;http://www.lunettesdepub.com;Agence conseil en communication digitale;https://twitter.com/jjolyRennes;
3302;Agence Sport;Startups;http://agence-sport.fr/agence-digitale-sport-paris/;Agence digitale et d'innovation de contenus sportifs;https://twitter.com/agence_sport;https://www.facebook.com/Agence-sport-1569651610017598/
4620;Agenda Discount;Startups;http://WWW.AGENDA-DISCOUNT.FR;D'une idée simple pour devenir un leader;;
4018;Agil Technologies;Startups;http://www.agil.com;La solution collaborative 3.0 qui réunit tous les acteurs de la marque et gère 100% de la chaine de valeur marketing.;;
5201;Agoply;Startups;https://agoply.fr/;Agoply : La marketplace BtoB;;
5024;Agorize ;;http://business.agorize.com/;Agorize organizes open innovation challenges (or e-hackathons) and engages a community of 5 million innovators worldwide (students, coders, startups and employees) through our collaborative platform.;"https://twitter.com/search?q=%23DigitalChallenge&amp;src=hash";https://www.facebook.com/agorize/
5967;Agree;;http://www.agree-app.com/;La première application qui permet d’interagir avec les débats politiques diffusés à la télé  et à la radio. ;https://twitter.com/cf_cedric;
4484;Agriconomie;Startups;http://www.agriconomie.com;Place de marché pour les agriculteurs, acheter tout ce dont vous avez besoin sur votre exploitation au même endroit et au meilleur prix.;https://twitter.com/Agriconomie;https://www.facebook.com/Agriconomie
1759;AGUILA Technologies;Startups;http://www.aguila.fr;objets connectés pour la sécurité;http://twitter.com/AguilaTech;
2491;Ai Shopping;Startups;http://aishoppingparis.com;une application shopping parisien dédiée aux touristes chinois ;;
2950;Air Indemnite;Startups;http://www.air-indemnite.com;Faire valoir les  droits des passagers victimes d’un retard ou d' une annulation de vol;https://twitter.com/Air_indemnite;https://www.facebook.com/pages/Air-indemnit%C3%A9/306236679536406
5416;Air Serenity;Startups;http://www.air-serenity.com;Le purificateur d'air le plus efficace du marché ;https://twitter.com/AirSerenity;https://www.facebook.com/pages/Air-Serenity/581789608533219
844;Air Spectral ;SME;http://www.airspectral.com;Drones et Capteurs multispectraux miniatures ;https://twitter.com/abdoubaldet;https://www.facebook.com/Air-Spectral-422671331258603/
6088;AIRBORNE CONCEPT;Startups;http://www.airborne-concept.com/;Créateurs de solutions drones innovantes;https://twitter.com/airborneconcept;https://www.facebook.com/airborneconceptsas
462;Aircall;;http://aircall.io;Créez facilement votre support téléphonique;https://twitter.com/aircall;https://www.facebook.com/aircallapp
3415;Airéka / CYMEYA;Startups;http://www.aireka.fr;Airéka aide les cyclistes et triathlètes à améliorer leurs performances;https://twitter.com/AirekaSport;
5797;Airlab Industrie;Startups;http://www.labelletrottinette.com;Spécialiste de la mobilité électrique urbaine !;http://twitter.com/lab_elle;https://www.facebook.com/labelletrottinette
4653;AirNounou;Startups;http://www.airnounou.com;AirNounou est un site de petits services entre parents;;
5302;AirnStudio;Startups;http://airnstudio.com;La 1ère plateforme collaborative française pour réserver des studios de musique professionnels ET home studios !;;
3326;Airvada;Startups;http://www.diodon-drone.com/fr/;Le premier drone gonflable! Ultra-portable et incassable.;;https://www.facebook.com/DiodonDrone
1624;Airvalet;Startups;http://airvalet.city;Payez vos vacances et aidez un étudiant à financer ses études !;;https://www.facebook.com/Airvalet-1031096303613259/
757;Airvy;;https://www.airvy-locationdecampingcar.com/;Location de camping car de particuliers et professionnels;https://twitter.com/airvy_location;https://www.facebook.com/airvy.locationdecampingcar
3888;Akoustic Arts;Startups;http://www.akoustic-arts.com;"Akoustic Arts développe le \""A\"", l'enceinte que vous seul pouvez entendre.";;
2546;Aladom;Startups;http://www.aladom.fr;Plateforme de mise en relation dans les services à la personne;;
2504;Alcatel-Lucent;ETI/Grands Groupes;https://www.alcatel-lucent.com/fr;;https://twitter.com/nokia;https://www.facebook.com/nokia
2503;Alcatel-Lucent;ETI/Grands Groupes;https://www.alcatel-lucent.com/fr;;https://twitter.com/nokia;https://www.facebook.com/nokia
2370;Alentoor.fr;Startups;https://www.alentoor.fr;Réseau d'affaires en ligne de proximité;;
2539;Alerteo;Startups;http://www.alerteo.com;Le bon usage de l'énergie;;
2325;AlertFilm;Startups;http://get.alertfilm.com;All the movie content, all the streaming platforms, in one app.;;
6083;Alg&You;Startups;http://www.alg-and-you.com;Faire de la spiruline un aliment pour tous par la production locale;https://twitter.com/Alg_and_You;https://www.facebook.com/AlgandYou?ref=tn_tnmn
4445;ALGAMA;Startups;http://www.algama.fr;Créer une alimentation alternative, saine, savoureuse et durable, utilisant pleinement le potentiel nutritif unique des microalgues.;https://twitter.com/algamafoods;https://www.facebook.com/algamafoods/
587;Algolia;;https://www.algolia.com;Implémentez un moteur de recherche temps réel et pertinent au sein de votre application web ou mobile;https://twitter.com/Algolia;https://www.facebook.com/algolia
1398;AlgoLinked;Startups;http://www.algolinked.com;AlgoLinked démocratise l'accès aux médias en proposant une plateforme de diffusion de communiqués de presse et de gestion des actions de relations presse pour les petites organisations;;
6624;AlgoSecure;Startups;https://www.algosecure.fr;Sécurisons ensemble votre système d'information!;https://twitter.com/algosecure;
